date,economy,reform,intervention,reform_market,finance,intervention_spending,regulation,intervention_tax_cut,intervention_support,reform_innovation
2016-05-20,4.822695035460993,1.276595744680851,0.9929078014184398,0.28368794326241137,0.0,0.0,0.28368794326241137,0.0,0.9929078014184398,2.9787234042553195
2016-05-23,0.467180565288484,1.7052090633029666,0.35038542396636296,0.5372576500817566,0.2569493109086662,0.0,0.6073347348750292,0.1401541695865452,0.21023125437981785,0.467180565288484
2016-05-24,1.1785503830288746,1.826753093694756,0.3535651149086624,1.2374779021803182,0.1767825574543312,0.0,0.5303476723629935,0.11785503830288745,0.2357100766057749,0.7660577489687684
2016-05-25,1.6345592527729131,1.284296555750146,0.05837711617046117,0.4670169293636894,0.0,0.0,0.3502626970227671,0.0,0.05837711617046117,1.1675423234092237
2016-05-26,2.247191011235955,0.2808988764044944,0.0,0.2808988764044944,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-30,0.17196904557179707,3.4393809114359417,0.2579535683576956,0.6018916595012898,0.0,0.0,0.17196904557179707,0.0,0.2579535683576956,2.8374892519346515
2016-05-31,0.29411764705882354,1.2745098039215683,0.09803921568627452,1.3725490196078431,0.0,0.0,0.0,0.0,0.09803921568627452,1.3725490196078431
2016-06-01,0.3866976024748647,0.5413766434648105,0.2320185614849188,0.7733952049497294,0.07733952049497292,0.15467904098994587,0.5413766434648105,0.0,0.07733952049497292,0.4640371229698376
2016-06-02,1.0280373831775702,0.9345794392523364,0.8411214953271028,0.4672897196261682,0.2803738317757009,0.0,0.3738317757009346,0.0,0.8411214953271028,0.3738317757009346
2016-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-07,1.0719754977029097,0.4594180704441042,0.0,2.2970903522205206,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-08,1.1782032400589102,2.135493372606774,0.3681885125184094,0.4418262150220913,0.0,0.0,0.14727540500736375,0.07363770250368189,0.29455081001472755,1.4727540500736376
2016-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-13,0.28259991925716593,0.6055712555510698,0.0,0.9285425918449738,0.04037141703673799,0.0,0.04037141703673799,0.0,0.0,0.5248284214775939
2016-06-14,1.166861143523921,0.7001166861143524,0.0,1.8669778296382729,0.0,0.0,0.11668611435239205,0.0,0.0,0.3500583430571762
2016-06-15,0.5502063273727648,1.237964236588721,0.1375515818431912,0.8253094910591471,0.1375515818431912,0.0,1.237964236588721,0.1375515818431912,0.0,0.5502063273727648
2016-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
