Nrr1,Clsdt,Nrrdata,Nrrdaydt,Nrrwkdt,Nrrmtdt
NRI01,20050915,2.250000,0.006100,0.042800,0.185600
NRI01,20050916,2.250000,0.006100,0.042800,0.185600
NRI01,20050917,2.250000,0.006100,0.042800,0.185600
NRI01,20050918,2.250000,0.006100,0.042800,0.185600
NRI01,20050919,2.250000,0.006100,0.042800,0.185600
NRI01,20050920,2.250000,0.006100,0.042800,0.185600
NRI01,20050921,2.250000,0.006100,0.042800,0.185600
NRI01,20050922,2.250000,0.006100,0.042800,0.185600
NRI01,20050923,2.250000,0.006100,0.042800,0.185600
NRI01,20050924,2.250000,0.006100,0.042800,0.185600
NRI01,20050925,2.250000,0.006100,0.042800,0.185600
NRI01,20050926,2.250000,0.006100,0.042800,0.185600
NRI01,20050927,2.250000,0.006100,0.042800,0.185600
NRI01,20050928,2.250000,0.006100,0.042800,0.185600
NRI01,20050929,2.250000,0.006100,0.042800,0.185600
NRI01,20050930,2.250000,0.006100,0.042800,0.185600
NRI01,20051001,2.250000,0.006100,0.042800,0.185600
NRI01,20051002,2.250000,0.006100,0.042800,0.185600
NRI01,20051003,2.250000,0.006100,0.042800,0.185600
NRI01,20051004,2.250000,0.006100,0.042800,0.185600
NRI01,20051005,2.250000,0.006100,0.042800,0.185600
NRI01,20051006,2.250000,0.006100,0.042800,0.185600
NRI01,20051007,2.250000,0.006100,0.042800,0.185600
NRI01,20051008,2.250000,0.006100,0.042800,0.185600
NRI01,20051009,2.250000,0.006100,0.042800,0.185600
NRI01,20051010,2.250000,0.006100,0.042800,0.185600
NRI01,20051011,2.250000,0.006100,0.042800,0.185600
NRI01,20051012,2.250000,0.006100,0.042800,0.185600
NRI01,20051013,2.250000,0.006100,0.042800,0.185600
NRI01,20051014,2.250000,0.006100,0.042800,0.185600
NRI01,20051015,2.250000,0.006100,0.042800,0.185600
NRI01,20051016,2.250000,0.006100,0.042800,0.185600
NRI01,20051017,2.250000,0.006100,0.042800,0.185600
NRI01,20051018,2.250000,0.006100,0.042800,0.185600
NRI01,20051019,2.250000,0.006100,0.042800,0.185600
NRI01,20051020,2.250000,0.006100,0.042800,0.185600
NRI01,20051021,2.250000,0.006100,0.042800,0.185600
NRI01,20051022,2.250000,0.006100,0.042800,0.185600
NRI01,20051023,2.250000,0.006100,0.042800,0.185600
NRI01,20051024,2.250000,0.006100,0.042800,0.185600
NRI01,20051025,2.250000,0.006100,0.042800,0.185600
NRI01,20051026,2.250000,0.006100,0.042800,0.185600
NRI01,20051027,2.250000,0.006100,0.042800,0.185600
NRI01,20051028,2.250000,0.006100,0.042800,0.185600
NRI01,20051029,2.250000,0.006100,0.042800,0.185600
NRI01,20051030,2.250000,0.006100,0.042800,0.185600
NRI01,20051031,2.250000,0.006100,0.042800,0.185600
NRI01,20051101,2.250000,0.006100,0.042800,0.185600
NRI01,20051102,2.250000,0.006100,0.042800,0.185600
NRI01,20051103,2.250000,0.006100,0.042800,0.185600
NRI01,20051104,2.250000,0.006100,0.042800,0.185600
NRI01,20051105,2.250000,0.006100,0.042800,0.185600
NRI01,20051106,2.250000,0.006100,0.042800,0.185600
NRI01,20051107,2.250000,0.006100,0.042800,0.185600
NRI01,20051108,2.250000,0.006100,0.042800,0.185600
NRI01,20051109,2.250000,0.006100,0.042800,0.185600
NRI01,20051110,2.250000,0.006100,0.042800,0.185600
NRI01,20051111,2.250000,0.006100,0.042800,0.185600
NRI01,20051112,2.250000,0.006100,0.042800,0.185600
NRI01,20051113,2.250000,0.006100,0.042800,0.185600
NRI01,20051114,2.250000,0.006100,0.042800,0.185600
NRI01,20051115,2.250000,0.006100,0.042800,0.185600
NRI01,20051116,2.250000,0.006100,0.042800,0.185600
NRI01,20051117,2.250000,0.006100,0.042800,0.185600
NRI01,20051118,2.250000,0.006100,0.042800,0.185600
NRI01,20051119,2.250000,0.006100,0.042800,0.185600
NRI01,20051120,2.250000,0.006100,0.042800,0.185600
NRI01,20051121,2.250000,0.006100,0.042800,0.185600
NRI01,20051122,2.250000,0.006100,0.042800,0.185600
NRI01,20051123,2.250000,0.006100,0.042800,0.185600
NRI01,20051124,2.250000,0.006100,0.042800,0.185600
NRI01,20051125,2.250000,0.006100,0.042800,0.185600
NRI01,20051126,2.250000,0.006100,0.042800,0.185600
NRI01,20051127,2.250000,0.006100,0.042800,0.185600
NRI01,20051128,2.250000,0.006100,0.042800,0.185600
NRI01,20051129,2.250000,0.006100,0.042800,0.185600
NRI01,20051130,2.250000,0.006100,0.042800,0.185600
NRI01,20051201,2.250000,0.006100,0.042800,0.185600
NRI01,20051202,2.250000,0.006100,0.042800,0.185600
NRI01,20051203,2.250000,0.006100,0.042800,0.185600
NRI01,20051204,2.250000,0.006100,0.042800,0.185600
NRI01,20051205,2.250000,0.006100,0.042800,0.185600
NRI01,20051206,2.250000,0.006100,0.042800,0.185600
NRI01,20051207,2.250000,0.006100,0.042800,0.185600
NRI01,20051208,2.250000,0.006100,0.042800,0.185600
NRI01,20051209,2.250000,0.006100,0.042800,0.185600
NRI01,20051210,2.250000,0.006100,0.042800,0.185600
NRI01,20051211,2.250000,0.006100,0.042800,0.185600
NRI01,20051212,2.250000,0.006100,0.042800,0.185600
NRI01,20051213,2.250000,0.006100,0.042800,0.185600
NRI01,20051214,2.250000,0.006100,0.042800,0.185600
NRI01,20051215,2.250000,0.006100,0.042800,0.185600
NRI01,20051216,2.250000,0.006100,0.042800,0.185600
NRI01,20051217,2.250000,0.006100,0.042800,0.185600
NRI01,20051218,2.250000,0.006100,0.042800,0.185600
NRI01,20051219,2.250000,0.006100,0.042800,0.185600
NRI01,20051220,2.250000,0.006100,0.042800,0.185600
NRI01,20051221,2.250000,0.006100,0.042800,0.185600
NRI01,20051222,2.250000,0.006100,0.042800,0.185600
NRI01,20051223,2.250000,0.006100,0.042800,0.185600
NRI01,20051224,2.250000,0.006100,0.042800,0.185600
NRI01,20051225,2.250000,0.006100,0.042800,0.185600
NRI01,20051226,2.250000,0.006100,0.042800,0.185600
NRI01,20051227,2.250000,0.006100,0.042800,0.185600
NRI01,20051228,2.250000,0.006100,0.042800,0.185600
