,timestamp,title,url
FIN_zcgg_51,2020-04-22,购置新能源汽车免征车辆购置税,http://szs.mof.gov.cn/zhengcefabu/202004/t20200417_3500222.htm
FIN_zcgg_52,2020-04-15,关于扩大内销选择性征收关税政策试点的公告,http://gss.mof.gov.cn/gzdt/zhengcefabu/202004/t20200414_3498086.htm
FIN_zcgg_53,2020-04-15,加工贸易企业内销税款缓税利息暂免征收,http://gss.mof.gov.cn/gzdt/zhengcefabu/202004/t20200415_3498382.htm
FIN_zcgg_54,2020-04-15,财政部等四部门发文进一步做好全国农业信贷担保工作,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202004/t20200415_3498327.htm
FIN_zcgg_55,2020-04-10,二手车经销有关增值税政策明确,http://szs.mof.gov.cn/zhengcefabu/202004/t20200409_3495286.htm
FIN_zcgg_56,2020-04-08,财政部、自然资源部印发通知组织申报中央财政支持海洋生态保护修复项目,http://zyhj.mof.gov.cn/zcfb/202004/t20200403_3493171.htm
FIN_zcgg_57,2020-04-03,财政部、国家档案局印发通知规范电子会计凭证报销入账归档,http://kjs.mof.gov.cn/zhengcefabu/202003/t20200331_3490938.htm
FIN_zcgg_58,2020-04-01,财政部印发通知支持小微企业和“三农”主体融资增信,http://jrs.mof.gov.cn/zhengcefabu/202004/t20200401_3492007.htm
FIN_zcgg_59,2020-04-01,财政部、农业农村部修订印发农业相关转移支付资金管理办法,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202004/t20200401_3491990.htm
FIN_zcgg_60,2020-03-31,财政部等三部门取消海洋石油（天然气）开采项目免税进口额度管理,http://gss.mof.gov.cn/gzdt/zhengcefabu/202003/t20200330_3490595.htm
FIN_zcgg_61,2020-03-31,《政府和社会资本合作（PPP）项目绩效管理操作指引》印发,http://jrs.mof.gov.cn/zhengcefabu/202003/t20200331_3490994.htm
FIN_zcgg_62,2020-03-30,财政部等三部门取消陆上特定地区石油（天然气）开采项目免税进口额度管理,http://gss.mof.gov.cn/gzdt/zhengcefabu/202003/t20200330_3490609.htm
FIN_zcgg_63,2020-03-27,财政部等四部门联合发文加强生态环保资金管理,http://zyhj.mof.gov.cn/zcfb/202003/t20200325_3488332.htm
FIN_zcgg_64,2020-03-25,物流企业大宗商品仓储设施用地城镇土地使用税优惠政策继续实施,http://szs.mof.gov.cn/zhengcefabu/202003/t20200325_3487955.htm
FIN_zcgg_65,2020-03-20,财政部、国务院扶贫办印发通知要求做好2020年财政专项扶贫资金、贫困县涉农资金整合试点及资产收益扶贫等工作,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202003/t20200318_3484694.htm
FIN_zcgg_66,2020-03-19,三部门印发通知进一步加大支持力度 促进生猪稳产保供,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/202003/t20200319_3485036.htm
FIN_zcgg_67,2020-03-16,减免港口建设费和船舶油污损害赔偿基金有关政策明确,http://szs.mof.gov.cn/zt/mlqd_8464/2013yljfcs/202003/t20200316_3483272.htm
