date,total_length,number_of_article,EPU,EPU_change
2017-11-26,11637.0,15.0,28.5072310513583,-0.7576542097083439
2017-12-03,31567.0,31.0,63.433573258543,1.2251748387720225
2017-12-10,4362.0,8.0,54.8250699956081,-0.13570894434479208
2017-12-17,5068.0,8.0,106.960998346331,0.9509505114156604
2017-12-24,2237.0,4.0,99.6141009975291,-0.06868762878421564
2017-12-31,817.0,3.0,85.2450174023042,-0.1442474855601149
2018-01-07,3641.0,6.0,104.909218552342,0.23067859857702677
2018-01-14,12386.0,12.0,96.85013671118,-0.07681957746297674
2018-01-21,2720.0,5.0,65.9330612957791,-0.31922593467885063
2018-01-28,5972.0,6.0,93.0537827397359,0.4113372094508376
2018-02-04,8604.0,7.0,64.8744193321499,-0.3028287789911933
2018-02-11,4936.0,6.0,50.2576389003253,-0.2253088441067702
