,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
2002-05-01,33.760589599609375,59.961043928027344,30.0959618756744,26.6192177387347,125.665562840978,42.1562923461681
2002-06-01,116.77750396728516,63.96829758999917,40.8065644756016,37.4638200932379,82.0867203028332,45.3667608447851
2002-07-01,88.06827545166016,93.98931477431725,50.3876941236603,41.0843868659844,78.3587912555527,64.4942251310465
2002-08-01,140.53097534179688,92.30569759560805,55.3279915602205,54.9149669491722,96.3843290869761,72.5976508494417
2002-09-01,188.888671875,76.91736939100302,58.0445843489762,51.1594274722942,127.327128427266,53.5694946327018
2002-10-01,147.99453735351562,84.31431142955695,64.4016665783545,48.5410337100003,166.66987592221,70.4608952456902
2002-11-01,109.75909423828125,66.3976525598832,99.4964201971149,72.2065349133436,65.9037285628006,45.5939410653282
2002-12-01,85.2096939086914,83.33826518905505,110.676784905455,72.2487204679381,139.174335899125,74.3214240578815
2003-01-01,141.76565551757812,78.33033384101155,59.022737138197,42.0644267822707,103.267911691207,73.2951852915081
2003-02-01,88.5965347290039,70.99897331225584,71.4513729425433,46.6745601608006,104.441006366028,75.0501819177979
2003-03-01,184.7860107421875,112.29109149652972,84.3009846415525,67.0305095188171,118.250031906868,80.2862481388037
2003-04-01,124.31019592285156,91.71954618643295,69.511860757305,43.2606201112267,70.620251027967,39.3458457749277
2003-05-01,102.0359115600586,76.79228163643286,89.316978673637,49.3027811840368,101.814097736766,48.8428527560854
2003-06-01,87.32002258300781,39.52524706014722,49.8445058491178,34.9108136137976,53.6762225997452,36.0651779386095
2003-07-01,92.37224578857422,75.19910177212165,43.4020296434547,34.8978495868419,49.0179346283687,37.9418109722562
2003-08-01,89.334228515625,54.95197029853577,30.3115726885273,38.452112904884,31.6252542970948,47.6914325345465
2003-09-01,127.82127380371094,68.63592280175291,42.9909325173207,44.0905896728715,80.3318440727474,77.4708803451717
